title,ministry,schemeCategory,description,beneficiaryState,npiMinistry,slug,tags,__typename
Janani Shishu Suraksha Karyakram,Ministry Of Health & Family Welfare,"['Health & Wellness', 'Women and Child']","A scheme by Ministry of MoHFW for pregnant women who access government health facilities for their delivery. to absolutely free and no expense delivery, including caesarean section. Essential care is provided to the mother and her neonate within 48 hours. ",,,jssk,"['Pregnant', 'Newborn', 'Medicine', 'Free Diet', 'Woman']",Search
Janani Suraksha Yojana (JSY),Ministry Of Health & Family Welfare,"['Health & Wellness', 'Women and Child']","The scheme aims to reduce maternal and neonatal mortality by promoting institutional deliveries among poor pregnant women. It offers cash assistance for institutional and home deliveries, along with antenatal and postnatal care support, primarily benefiting poor pregnant women across India.",,,jsy1,"['Pregnancy', 'Woman', 'Female', 'Delivery', 'Child', 'Health']",Search
Kumar Rajratna Bhimrao Ambedkar Medical Assistance Scheme,,['Health & Wellness'],"The scheme aims to provide financial support to individuals belonging to SC category suffering from incurable & serious diseases. Under this scheme, Medical Assistance is provided to Scheduled Caste patients diagnosed with life-threatening conditions such as TB, Leukemia, & other critical illnesses.",,,krbamas,"['Medical Assistance', 'Disease', 'Scheduled Caste', 'Medical Aid', 'Treatment']",Search
Mukhyamantri Matrupushti Uphar,,"['Women and Child', 'Social welfare & Empowerment', 'Health & Wellness']","The scheme “Mukhyamantri Matrupushti Uphar” was launched by the Directorate of Social Welfare and Social Education, Government of Tripura, to provide financial assistance of ₹500/- to pregnant women through Direct Benefit Transfer (DBT) for antenatal checkups at any health facility. ",,,mmus,"['Women', 'Pregnant', 'Medical', 'Financial Assistance']",Search
Surakshit Matritva Aashwasan Yojana,Ministry Of Health & Family Welfare,"['Health & Wellness', 'Women and Child']",SUMAN Yojana is a maternity benefit initiative by MoH&FW. This program provides affordable and quality healthcare solutions to pregnant women and newborns. The scheme provides zero expense access up to six months after delivery. Upto antenatal check-ups during the 1st trimester are provided.,,,suman,"['Pregnant', 'Health']",Search
Swachh Bharat Mission – Urban 2.0,Ministry Of Housing & Urban Affairs,"['Utility & Sanitation', 'Health & Wellness']",A sanitation scheme for the construction of Individual Household Latrines (IHHL) for urban households.,,,sbm-u,"['Toilet', 'Sanitation']",Search
Swachh Bharat Mission (Grameen) Phase II,Ministry Of Jal Shakti,"['Utility & Sanitation', 'Health & Wellness']",A sanitation scheme for Visual cleanliness through Open Defecation Free (ODF) sustainability and effective management of solid and liquid waste in villages.,,,sbm-g-ii,"['Swachh Bharat', 'Toilet', 'Sanitation', 'Rural', 'Grameen']",Search
Swachh Bharat Mission – Grameen PHASE I,Ministry Of Jal Shakti,"['Health & Wellness', 'Utility & Sanitation']",The scheme aims to eliminate open defecation and improve rural sanitation by supporting toilet construction and promoting usage among poor and marginalized rural households.,,,sbm-g-i,"['Sanitation', 'Toilet', 'Grameen', 'Swachh Bharat']",Search
Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Ministry Of Health & Family Welfare,['Health & Wellness'],"AB PM-JAY is a health insurance scheme for low-income families in rural and urban areas. The scheme aims to provide affordable healthcare facilities to the Poor. It is the largest health assurance scheme in the world which aims at providing a health cover of ₹5,00,000/- per family per year.",,,ab-pmjay,"['Health', 'Insurance']",Search
Distribution of Female Menstrual Hygiene Kit for the Construction Workers,,"['Social welfare & Empowerment', 'Women and Child', 'Health & Wellness']","The ""Distribution of Female Menstrual Hygiene Kit for the Construction Workers'' by the BOCW Welfare Board, Labour Department, U.T. Administration of DNH & DD, is a welfare scheme that provides Menstrual Hygiene Kit to registered female beneficiaries.",,,dfmkftcw,"['Labour', 'Building Worker', 'Construction Worker', 'Promoting Registration', 'Menstrual Hygiene Kit', 'Female', 'Health', 'Wellness']",Search
Pradhan Mantri Garib Kalyan Package : Insurance Scheme For Health Workers Fighting COVID-19,Ministry Of Health & Family Welfare,['Health & Wellness'],"The ""Pradhan Mantri Garib Kalyan Package: Insurance Scheme for Health Workers Fighting COVID-19"" by the Ministry of Health and Family Welfare, Government of India aims to offer financial protection to healthcare workers involved in COVID-19 duties.",,,pmgkp,"['Life Insurance', 'Health Workers', 'COVID-19']",Search
Pradhan Mantri Matru Vandana Yojana,Ministry of Women and Child Development,"['Health & Wellness', 'Social welfare & Empowerment', 'Utility & Sanitation', 'Women and Child']","The scheme is to provide maternity benefits to women belonging to socially and economically disadvantaged sections of society. For first child the maternity benefit of ₹5,000 is provided in two instalments under PMMVY and second child, it is ₹6,000 is to be provided subject to second child is girl.",,,pmmvy,"['Maternity Benefit Programme', 'Financial Assistance', 'Pregnant Women', 'Cash Incentive', 'Good Nutrition']",Search
Pradhan Mantri Surakshit Matritva Abhiyan,Ministry Of Health & Family Welfare,"['Health & Wellness', 'Women and Child']","The scheme aims to provide fixed-day assured, comprehensive and quality antenatal care universally to all pregnant women in 2nd and 3rd trimester on the 9th of every month. It offers free comprehensive antenatal care services at government health facilities.",,,pmsma,"['Maternal', 'Health', 'Antenatal', 'Pregnancy', 'Government', 'Women', 'Medical']",Search
"National Action for Mechanised Sanitation Ecosystem (NAMASTE) - ""Emergency Response Sanitation Unit (ERSU) Formation and Functionalisation"" ",Ministry Of Social Justice and Empowerment,"['Social welfare & Empowerment', 'Health & Wellness', 'Utility & Sanitation']","The scheme aims to establish professional, well-trained, motivated and adequately equipped workforce for maintenance and management of sewers and septic tanks, addressing the critical need to eliminate fatalities resulting from workers entering sewers and septic tanks without proper safety measures.",,,namaste-ersufaf,"['Sanitation', 'Emergency', 'Worker', 'Safety', 'Sewer', 'Septic', 'Training']",Search
Rastriya Arogya Nidhi - Health Minister’s Cancer Patient Fund,Ministry Of Health & Family Welfare,"['Health & Wellness', 'Social welfare & Empowerment']","A scheme to provide financial assistance to poor patients living below poverty line and suffering from cancer, for their treatment at 27 Regional cancer centers (RCCs).",,,hmcpf,"['BPL', 'Cancer Treatment']",Search
"108, Emergency Ambulance Service - Uttarakhand",,['Health & Wellness'],"The scheme aims to provide timely emergency medical assistance by transporting patients to hospitals and offering essential first aid through a free, state-wide ambulance service accessible by calling 108.",,,108easuk,"['Patient', '108', 'Emergency', 'Ambulance Service']",Search
AFFDF-Financial Assistance For Treatment Of Serious Diseases To Non Pensioner Ex-Servicemen (All Ranks)/Widows,Ministry Of Defence,['Health & Wellness'],"A scheme to provide financial assistance to a non-pensioner Ex-Servicemen of all ranks and widows to meet medical expenses related to treatment of approved serious diseases like cancer, renal failure, knee replacement and heart surgery.",,,affdf-serious-disease-treatment,"['Ex-Servicemen', 'Widow Of Ex-Servicemen', 'Serious Disease Treatment']",Search
AVYAY - National Action Plan for Senior Citizens: Health and Shelter for Senior Citizens,Ministry Of Social Justice and Empowerment,"['Housing & Shelter', 'Social welfare & Empowerment', 'Health & Wellness']","The scheme aims to improve the quality of life of Senior Citizens, particularly those who are indigent, by providing basic amenities like shelter, food, medical care and entertainment opportunities. The scheme provides financial assistance for projects such as maintenance of Senior Citizen Homes.",,,avyay-napsc-hssc,"['Shelter', 'Healthcare', 'Welfare', 'Senior Citizen', 'Health']",Search
AYUSH Health and Wellness Centre - Ayushman Bharat Yojana,,['Health & Wellness'],"The scheme aims to provide accessible, affordable, and holistic healthcare services based on Ayurveda, Yoga, Unani and Homeopathy systems to people of all age groups.",,,ahwc,"['AYUSH', 'Health And Wellness', 'Yoga', 'Medicinal Plants', 'Ayurvedic', 'Unani', 'Homeopathy']",Search
Aama Kuni Pilaa,,"['Women and Child', 'Health & Wellness']","The scheme aims to focus on early stimulation and responsive parenting in the best interest of each child from 0-3 years. The scheme envisages promoting parent-led, home-based, joyful child-friendly learning by creating an early stimulating environment at the household level.",,,akpod,"['Kuni Calendar', 'Childcare', 'Toy Kit', 'Training', 'Capacity Building', 'ICDS']",Search
Ayurswasthya Yojana: AYUSH for Sports Medicine,Ministry Of Ayush,['Health & Wellness'],The scheme-component aims to promote AYUSH interventions for the treatment and rehabilitation of sports injuries and to enhance health and fitness among sports persons.,,,asyasm,"['Sports Medicine', 'AYUSH Intervention', 'Athlete Health', 'Sports Injury Treatment', 'Rehabilitation', 'Fitness Promotion']",Search
Ayurswasthya Yojana: Up-gradation of Facilities to Centre of Excellence (CoE),Ministry Of Ayush,['Health & Wellness'],"The scheme-component aims to support the establishment and up-gradation of reputed institutions to Centres of Excellence for strengthening AYUSH education, research, innovation, and advanced healthcare services.",,,asycoe,"['Centre Of Excellence', 'AYUSH Infrastructure', 'Tertiary Healthcare', 'Institutional Upgradation']",Search
Ayurswasthya Yojana: AYUSH and Public Health,Ministry Of Ayush,['Health & Wellness'],"The scheme-component aims to promote AYUSH-based interventions to improve community health outcomes by supporting preventive, promotive, curative, and rehabilitative healthcare services.",,,asyaph,"['AYUSH', 'Public Health Intervention', 'Community Health Care']",Search
Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Ministry Of Health & Family Welfare,['Health & Wellness'],"AB PM-JAY is a health insurance scheme for low-income families in rural and urban areas. The scheme aims to provide affordable healthcare facilities to the Poor. It is the largest health assurance scheme in the world which aims at providing a health cover of ₹5,00,000/- per family per year.",,,ab-pmjay,"['Health', 'Insurance', 'Cashless Treatment', 'Hospitalization Cover']",Search
"Awareness Programme on Child/Human Trafficking, Family Planning, Legal Awareness, Health etc.",,"['Public Safety,Law & Justice', 'Health & Wellness', 'Social welfare & Empowerment', 'Women and Child']","The scheme aims to generate awareness among the Tea Tribes and Adivasi community regarding child/human trafficking, family planning, legal awareness, and health. It generates awareness benefits for the Tea Tribes and Adivasi community through Non-Governmental Organizations proposals.",,,apchtfplahe,"['Health', 'Legal', 'Child', 'Family', 'Alcoholism', 'Mortality']",Search
